work_id	title_display	author_person_id	author_name_display	year_written_start	year_written_end	work_type	language	place_written_id	place_recipient_ids	description	significance	modern_edition_url	citations
gospel-nazarenes	Gospel of the Nazarenes (fragments)		Anonymous	110	190	other	Hebrew/Aramaic			Reconstructed Jewish-Christian gospel known from patristic citations.	Important for Jewish-Christian gospel textual traditions.	https://en.wikipedia.org/wiki/Gospel_of_the_Nazarenes	https://en.wikipedia.org/wiki/Gospel_of_the_Nazarenes
polycarp-philippians	Polycarp, Letter to the Philippians	polycarp-of-smyrna	Polycarp of Smyrna	110	140	letter	Greek	city:smyrna-izmir	city:philippi-filippoi	Exhortation letter; echoes/cites New Testament writings; mentions Ignatius.	Bridge figure to apostolic generation; early reception of Pauline corpus.	https://en.wikipedia.org/wiki/Epistle_of_Polycarp_to_the_Philippians	https://en.wikipedia.org/wiki/Epistle_of_Polycarp_to_the_Philippians
2-clement	Second Clement (Ancient Homily)		Anonymous (trad. Clement)	120	160	homily	Greek			Early Christian homily emphasizing repentance and obedience.	One of the earliest post-apostolic sermons; shows preaching style.	https://en.wikipedia.org/wiki/Second_Epistle_of_Clement	https://en.wikipedia.org/wiki/Second_Epistle_of_Clement
apocryphon-of-john	Apocryphon of John (Secret Book of John)		Anonymous (Sethian)	120	180	other	Coptic			Sethian gnostic cosmological revelation attributed to John.	Principal Nag Hammadi text for gnostic cosmology; known to Irenaeus.	https://en.wikipedia.org/wiki/Apocryphon_of_John	https://en.wikipedia.org/wiki/Apocryphon_of_John
aristides-apology	Aristides, Apology	aristides	Aristides of Athens	120	140	treatise	Greek	city:athens-athens		Apology contrasting Christian worship with paganism and Judaism.	Early apologist text describing Christian life and ethics.	https://en.wikipedia.org/wiki/Apology_of_Aristides	https://en.wikipedia.org/wiki/Apology_of_Aristides;https://www.ccel.org/ccel/schaff/anf02.html
basilides-exegetica	Basilides, Exegetica (lost; fragments)	basilides	Basilides	120	150	treatise	Greek			Lost doctrinal work attributed to Basilides, known through hostile citations and reports.	Important witness to early Alexandrian gnostic teaching.	https://en.wikipedia.org/wiki/Basilides	https://en.wikipedia.org/wiki/Basilides
epistula-apostolorum	Epistula Apostolorum (Epistle of the Apostles)		Anonymous	120	180	other	Greek			Pseudo-apostolic open letter and risen-Christ dialogue opposing docetism/gnosticism.	Important “orthodox” counter-gnostic use of dialogue-gospel genre.	https://en.wikipedia.org/wiki/Epistula_Apostolorum	https://en.wikipedia.org/wiki/Epistula_Apostolorum
gospel-ebionites	Gospel of the Ebionites (fragments)		Anonymous	120	170	other	Greek			Reconstructed Jewish-Christian gospel known from Epiphanius’ quotations.	Important for understanding Ebionite traditions and gospel harmonies.	https://en.wikipedia.org/wiki/Gospel_of_the_Ebionites	https://en.wikipedia.org/wiki/Gospel_of_the_Ebionites
gospel-of-mary	Gospel of Mary		Anonymous	120	180	other	Coptic			Dialogue/revelation text featuring Mary Magdalene as interpreter of teaching.	Important for early Christian diversity and authority disputes in narrative.	https://en.wikipedia.org/wiki/Gospel_of_Mary	https://en.wikipedia.org/wiki/Gospel_of_Mary
greek-gospel-egyptians	Greek Gospel of the Egyptians (fragments)		Anonymous	120	160	other	Greek			Early apocryphal gospel known from quotations (esp. Clement of Alexandria).	Important for early extracanonical gospel traditions and ascetic sayings.	https://en.wikipedia.org/wiki/Greek_Gospel_of_the_Egyptians	https://en.wikipedia.org/wiki/Greek_Gospel_of_the_Egyptians
quadratus-apology	Quadratus, Apology (fragment)	quadratus	Quadratus of Athens	124	130	treatise	Greek	city:athens-athens		Apologetic work known mainly from a fragment preserved by Eusebius.	Earliest known Christian apology fragment; shows public defense genre.	https://en.wikipedia.org/wiki/Quadratus_of_Athens	https://en.wikipedia.org/wiki/Quadratus_of_Athens
epistle-diognetus	Epistle to Diognetus		"Anonymous (""Mathetes"")"	130	200	treatise	Greek			Apology describing Christians as a distinct people living within society.	Classic early statement of Christian identity and mission in the world.	https://en.wikipedia.org/wiki/Epistle_to_Diognetus	https://en.wikipedia.org/wiki/Epistle_to_Diognetus
gospel-of-truth	Gospel of Truth		Anonymous (Valentinian)	140	180	homily	Coptic			Valentinian homiletic tract on ignorance, revelation, and salvation.	Major Valentinian text; cited by Irenaeus as heretical.	https://en.wikipedia.org/wiki/Gospel_of_Truth	https://en.wikipedia.org/wiki/Gospel_of_Truth
infancy-gospel-thomas	Infancy Gospel of Thomas		Anonymous	140	190	other	Greek			Apocryphal childhood miracle stories of Jesus.	Widely transmitted; important for popular piety and apocryphal tradition.	https://en.wikipedia.org/wiki/Infancy_Gospel_of_Thomas	https://en.wikipedia.org/wiki/Infancy_Gospel_of_Thomas
marcion-antithesis	Marcion, Antitheses	marcion	Marcion of Sinope	140	160	treatise	Greek	city:rome-rome		Lost manifesto contrasting Old Testament creator with the God proclaimed by Jesus; known from patristic reports.	Key source for Marcionite theology and early canon debates.	https://en.wikipedia.org/wiki/Antithesis	https://en.wikipedia.org/wiki/Antithesis;https://en.wikipedia.org/wiki/Marcion_of_Sinope
marcion-apostolikon	Marcionite Apostolikon (Pauline epistle collection)	marcion	Marcionite community (used by Marcion)	140	160	canon	Greek	city:rome-rome		Collection of Pauline letters used in Marcion’s canon (reconstructed from patristic witnesses).	Key evidence for early collection and reception of Pauline epistles.	https://en.wikipedia.org/wiki/Gospel_of_Marcion	https://en.wikipedia.org/wiki/Marcionism;https://en.wikipedia.org/wiki/Gospel_of_Marcion
marcion-gospel	Gospel of Marcion (Evangelion)	marcion	Marcionite community (used by Marcion)	140	160	other	Greek	city:rome-rome		Marcionite gospel text (often viewed as a form of Luke) reconstructed from patristic citations.	Central for studies of Marcionism and early gospel textual history.	https://en.wikipedia.org/wiki/Gospel_of_Marcion	https://en.wikipedia.org/wiki/Gospel_of_Marcion
valentinus-fragments	Valentinus, Fragments (homilies/letters; fragments)	valentinus	Valentinus	140	165	treatise	Greek			Fragmentary sayings/homiletic material attributed to Valentinus.	Central for reconstructing Valentinian theology at its source.	https://en.wikipedia.org/wiki/Valentinus	https://en.wikipedia.org/wiki/Valentinus
gospel-of-james	Protoevangelium of James (Gospel of James)		Anonymous	145	170	other	Greek			Infancy narrative focusing on Mary’s birth/upbringing and Jesus’ birth.	Highly influential on Marian tradition and later liturgy/iconography.	https://en.wikipedia.org/wiki/Gospel_of_James	https://en.wikipedia.org/wiki/Gospel_of_James
acts-of-andrew	Acts of Andrew		Anonymous	150	200	other	Greek			Apocryphal acts describing Andrew’s miracles and martyrdom traditions.	Major apocryphal Acts text; influential in later hagiography.	https://en.wikipedia.org/wiki/Acts_of_Andrew	https://en.wikipedia.org/wiki/Acts_of_Andrew
acts-of-john	Acts of John		Anonymous	150	200	other	Greek	city:ephesus-selcuk-area		Apocryphal acts featuring miracles and teachings associated with John.	Important for Johannine apocryphal tradition and early hymn material (“Hymn of Jesus”).	https://en.wikipedia.org/wiki/Acts_of_John	https://en.wikipedia.org/wiki/Acts_of_John
acts-paul-thecla	Acts of Paul and Thecla		Anonymous	150	190	other	Greek			Narrative of Thecla’s conversion and ascetic devotion under Paul’s influence.	Highly influential for ascetic ideals and female sanctity narratives.	https://en.wikipedia.org/wiki/Acts_of_Paul_and_Thecla	https://en.wikipedia.org/wiki/Acts_of_Paul_and_Thecla
gospel-of-judas	Gospel of Judas		Anonymous (Gnostic)	150	180	other	Coptic			Dialogue text portraying Judas as recipient of special revelation.	Important witness to diversity of second-century Christian mythmaking.	https://en.wikipedia.org/wiki/Gospel_of_Judas	https://en.wikipedia.org/wiki/Gospel_of_Judas
gospel-of-peter	Gospel of Peter		Anonymous	150	190	other	Greek			Apocryphal passion/resurrection narrative; includes distinctive features.	Key text for non-canonical gospel tradition and early Christology debates.	https://en.wikipedia.org/wiki/Gospel_of_Peter	https://en.wikipedia.org/wiki/Gospel_of_Peter
justin-first-apology	Justin Martyr, First Apology	justin-martyr	Justin Martyr	150	155	treatise	Greek	city:rome-rome		Defense of Christians; includes descriptions of baptism and Eucharistic worship.	Foundational apology and early liturgy witness.	https://en.wikipedia.org/wiki/First_Apology_of_Justin_Martyr	https://en.wikipedia.org/wiki/First_Apology_of_Justin_Martyr;https://www.ccel.org/ccel/schaff/anf01.html
ptolemy-letter-flora	Ptolemy, Letter to Flora		Ptolemy (Valentinian)	150	175	letter	Greek			Valentinian letter interpreting the Law of Moses as having multiple sources.	One of the few extended “authentic” gnostic texts preserved via patristic transmission.	https://en.wikipedia.org/wiki/Letter_to_Flora	https://en.wikipedia.org/wiki/Letter_to_Flora
treatise-resurrection-rheginos	Treatise on the Resurrection (Letter to Rheginos)		Anonymous (Gnostic/quasi-gnostic)	150	200	letter	Coptic			Letter arguing the resurrection is real and believers are already raised spiritually.	Key Nag Hammadi text on resurrection debates and anti-docetic emphases.	https://en.wikipedia.org/wiki/Treatise_on_the_Resurrection	https://en.wikipedia.org/wiki/Treatise_on_the_Resurrection
justin-dialogue-trypho	Justin Martyr, Dialogue with Trypho	justin-martyr	Justin Martyr	155	165	treatise	Greek			Extended dialogue arguing from Scripture that Jesus is the Messiah.	Major early Christian-Jewish disputation text; typological exegesis.	https://en.wikipedia.org/wiki/Dialogue_with_Trypho	https://en.wikipedia.org/wiki/Dialogue_with_Trypho
justin-second-apology	Justin Martyr, Second Apology	justin-martyr	Justin Martyr	155	160	treatise	Greek	city:rome-rome		Further defense addressing persecution and injustice.	Important for Roman persecution context and apologetic method.	https://en.wikipedia.org/wiki/Second_Apology_of_Justin_Martyr	https://en.wikipedia.org/wiki/Second_Apology_of_Justin_Martyr;https://www.ccel.org/ccel/schaff/anf01.html
martyrdom-polycarp	Martyrdom of Polycarp		Church of Smyrna (anonymous)	155	170	chronicle	Greek	city:smyrna-izmir		Martyrdom narrative in epistolary form describing Polycarp’s death.	Earliest detailed post-NT martyrdom account; shapes later martyrology.	https://en.wikipedia.org/wiki/Martyrdom_of_Polycarp	https://en.wikipedia.org/wiki/Martyrdom_of_Polycarp
acts-of-peter	Acts of Peter		Anonymous	160	200	other	Greek			Apocryphal acts featuring Peter’s miracles and contest with Simon Magus.	Major apocryphal Acts source; origin of “Quo vadis” and inverted crucifixion tradition.	https://en.wikipedia.org/wiki/Acts_of_Peter	https://en.wikipedia.org/wiki/Acts_of_Peter
martyrdom-carpus	Martyrdom of Carpus, Papylus, and Agathonice		Anonymous	160	180	chronicle	Greek			Martyrdom account from Asia Minor tradition.	Significant early martyrdom narrative in the Greek East.	https://en.wikipedia.org/wiki/Carpus%2C_Papylus_and_Agathonice	https://en.wikipedia.org/wiki/Carpus%2C_Papylus_and_Agathonice
melito-on-pascha	Melito of Sardis, On the Pascha	melito-of-sardis	Melito of Sardis	160	170	homily	Greek	city:sardis-sart		Paschal homily with typology connecting Exodus to Christ.	Key early paschal theology; influential liturgical preaching.	https://en.wikipedia.org/wiki/Peri_Pascha	https://en.wikipedia.org/wiki/Peri_Pascha
minucius-felix-octavius	Minucius Felix, Octavius		Minucius Felix	160	200	treatise	Latin	city:rome-rome		Latin dialogue defending Christianity against pagan critiques.	Influential early Latin apology; shows educated Roman Christian argumentation.	https://en.wikipedia.org/wiki/Octavius_%28dialogue%29	https://en.wikipedia.org/wiki/Octavius_%28dialogue%29
third-corinthians	Third Epistle to the Corinthians (from Acts of Paul)		Anonymous (pseudonymous as Paul)	160	190	letter	Greek	city:corinth-ancient-corinth		Pseudonymous Pauline correspondence (Corinthians ↔ Paul) combating gnostic teachings.	Important witness to anti-gnostic polemics and Pauline authority in apocrypha.	https://en.wikipedia.org/wiki/Third_Epistle_to_the_Corinthians	https://en.wikipedia.org/wiki/Third_Epistle_to_the_Corinthians
dionysius-corinth-letters	Dionysius of Corinth, Letters (lost; fragments)	dionysius-of-corinth	Dionysius of Corinth	165	180	letter	Greek	city:corinth-ancient-corinth		Collection of pastoral letters known from quotations/summary in Eusebius.	Evidence for wide correspondence networks among churches in the 2nd century.	https://en.wikipedia.org/wiki/Dionysius_of_Corinth	https://en.wikipedia.org/wiki/Dionysius_of_Corinth
hegesippus-memoirs	Hegesippus, Memoirs (Hypomnemata) (lost; fragments)		Hegesippus	165	180	chronicle	Greek			Early church history work known from fragments in Eusebius and others.	Important early source for succession lists and martyr traditions.	https://en.wikipedia.org/wiki/Hegesippus_%28chronicler%29	https://en.wikipedia.org/wiki/Hegesippus_%28chronicler%29
martyrdom-justin	Martyrdom of Justin		Anonymous	165	180	chronicle	Greek	city:rome-rome		Martyrdom narrative of Justin and companions.	Important for martyrdom tradition surrounding a leading apologist.	https://en.wikipedia.org/wiki/Justin_Martyr	https://en.wikipedia.org/wiki/Justin_Martyr
tatian-address-to-greeks	Tatian, Address to the Greeks	tatian	Tatian	165	175	treatise	Greek			Polemic against Greek philosophy and pagan religion.	Influential second-century apologetic critique.	https://en.wikipedia.org/wiki/Address_to_the_Greeks	https://en.wikipedia.org/wiki/Tatian;https://www.ccel.org/ccel/schaff/anf02.html
melito-apology	Melito of Sardis, Apology to Marcus Aurelius (lost; fragments)	melito-of-sardis	Melito of Sardis	170	180	treatise	Greek	city:sardis-sart		Apology reportedly addressed to Emperor Marcus Aurelius; survives in fragments/attestation.	Representative of second-century imperial apologetics; shows episcopal engagement.	https://en.wikipedia.org/wiki/Melito_of_Sardis	https://en.wikipedia.org/wiki/Melito_of_Sardis
muratorian-fragment	Muratorian Fragment (canon list)		Anonymous	170	200	canon	Latin	city:rome-rome		Early list/discussion of Christian writings accepted or disputed.	Key evidence for developing New Testament canon in the late 2nd century.	https://en.wikipedia.org/wiki/Muratorian_fragment	https://en.wikipedia.org/wiki/Muratorian_fragment
